,Name,Goals,Appearances,Minutes,GCgoals,Points
0,Divock Origi,19,32,3193,9,24
1,Steven Gerrard,119,429,38088,72,147
2,Jordan Henderson,26,228,20305,11,27
3,Mohamed Salah,73,104,9072,35,57
4,Roberto Firmino,57,154,13362,30,48
5,Sami Hyypiä,20,263,23354,13,21
6,Danny Murphy,22,90,8454,16,48
7,Dirk Kuyt,51,176,15768,28,54
8,Raheem Sterling,18,77,7047,9,18
9,Martin Škrtel,16,233,21010,10,3
10,John Arne Riise,21,189,17289,13,33
11,Emile Heskey,36,97,8711,19,66
12,Luis García,18,52,4937,9,30
13,Fernando Torres,65,91,7887,42,96
14,Sadio Mané,63,119,10258,35,63
15,Milan Baroš,19,45,4060,13,15
16,Peter Crouch,22,55,4572,11,21
17,Daniel Sturridge,51,71,6794,24,54
18,Adam Lallana,18,81,7273,11,12
19,James Milner,19,108,10077,12,36
20,Michael Owen,70,99,8688,41,57
21,Yossi Benayoun,18,55,5323,12,27
22,Robbie Fowler,19,37,3517,10,21
23,Coutinho,41,136,11401,25,36
24,Luis Suárez,69,107,9576,23,24
